START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
4,4,3.843624,4,2.870137,2.920559e-01
5,5,2.590290,5,4.266093,-4.989286e-01
6,6,3.210402,6,5.413807,-5.225564e-01
8,8,2.162039,8,2.814638,-2.637819e-01
9,9,4.827796,9,5.820367,-1.869733e-01
10,10,2.120759,10,3.855372,-5.976935e-01
12,12,4.116507,12,5.565937,-3.016604e-01
13,13,2.192988,13,3.090238,-3.429831e-01
14,14,1.989892,14,3.390541,-5.329091e-01
(5#)3/2,59,1.146642,59,2.764597,-8.800572e-01
(5#)2,64,1.081019,64,2.715385,-9.210296e-01
(5#)5/2,79,0.979081,89,2.743169,-1.030255e+00
(5#)3,97,0.871999,103,2.732657,-1.142241e+00
(7#)/2,113,1.596300,113,2.731305,-5.370911e-01
(5#)4,128,2.207081,128,2.702466,-2.024939e-01
(5#)9/2,146,1.360895,149,2.720304,-6.926011e-01
(5#)5,157,1.311058,163,2.715599,-7.281781e-01
(5#)11/2,178,1.810172,179,2.712819,-4.045664e-01
(5#)6,181,1.801625,193,2.712054,-4.090172e-01
(5#)13/2,199,1.132084,199,2.709905,-8.728534e-01
(7#),223,1.053604,223,2.707019,-9.436314e-01
(5#)15/2,236,1.517972,239,2.705377,-5.778660e-01
(5#)8,241,1.504150,251,2.704265,-5.866022e-01
(5#)17/2,262,2.366905,256,2.693275,-1.291747e-01
(5#)9,283,1.808288,283,2.701699,-4.015003e-01
(5#)19/2,292,2.207228,293,2.701790,-2.021771e-01
(5#)10,313,1.693274,313,2.700437,-4.667497e-01
(7#)3/2,316,2.096745,317,2.700184,-2.529338e-01
(5#)11,337,1.613017,337,2.698997,-5.147739e-01
(5#)23/2,349,1.970222,359,2.697202,-3.140687e-01
(5#)12,362,1.917761,373,2.697135,-3.410317e-01
(5#)25/2,379,1.492247,379,2.696274,-5.915878e-01
(5#)13,391,1.826947,401,2.695884,-3.890799e-01
(5#)27/2,412,2.111809,419,2.694640,-2.437197e-01
(7#)2,433,1.364958,433,2.694622,-6.801343e-01
(5#)29/2,439,2.366648,439,2.693917,-1.295217e-01
(5#)15,463,1.956971,463,2.693116,-3.193010e-01
(5#)31/2,466,1.944258,479,2.692619,-3.256339e-01
(5#)16,481,1.907067,491,2.692264,-3.448160e-01
(5#)33/2,496,1.863948,499,2.692035,-3.676006e-01
(5#)17,524,2.394277,512,2.686429,-1.151315e-01
(7#)5/2,526,2.089567,538,2.696448,-2.549785e-01
(5#)18,548,2.031998,541,2.691301,-2.810052e-01
(5#)37/2,569,1.983900,557,2.690900,-3.048111e-01
(5#)19,577,2.245675,577,2.690424,-1.806927e-01
(5#)39/2,599,2.188595,599,2.689596,-2.061312e-01
(5#)20,601,1.910627,601,2.689887,-3.420677e-01
(5#)41/2,617,1.876316,619,2.689185,-3.599279e-01
(7#)3,631,2.111378,643,2.688718,-2.417237e-01
(5#)43/2,649,2.329513,659,2.688423,-1.432955e-01
(5#)22,661,1.788981,661,2.688684,-4.074057e-01
(5#)45/2,677,2.010889,677,2.688393,-2.903667e-01
(5#)23,697,2.216917,701,2.687975,-1.926706e-01
(5#)47/2,706,1.706515,719,2.687407,-4.541235e-01
(5#)24,734,2.135493,733,2.687452,-2.298960e-01
(7#)7/2,743,2.355865,739,2.687098,-1.315538e-01
(5#)25,751,2.338294,761,2.687024,-1.390127e-01
(5#)51/2,766,2.072834,773,2.686848,-2.594520e-01
(5#)26,788,1.806384,787,2.686405,-3.968768e-01
(5#)53/2,802,1.784236,797,2.686508,-4.092519e-01
(5#)27,821,1.976976,823,2.685928,-3.064579e-01
(5#)55/2,839,2.379710,839,2.685726,-1.209725e-01
(7#)4,841,2.159749,853,2.685775,-2.179773e-01
(5#)57/2,859,1.914982,859,2.685482,-3.381520e-01
(5#)29,883,2.295458,883,2.685200,-1.568228e-01
(5#)59/2,886,2.287381,887,2.685154,-1.603306e-01
(5#)30,904,2.050129,911,2.684886,-2.697356e-01
(5#)61/2,919,1.825774,919,2.684799,-3.856019e-01
(5#)31,943,1.991920,941,2.684762,-2.984931e-01
(7#)9/2,958,2.164457,953,2.684635,-2.153753e-01
(5#)32,967,1.761041,971,2.684260,-4.215000e-01
(5#)65/2,982,1.933461,977,2.684389,-3.281415e-01
(5#)33,997,2.106150,997,2.684190,-2.425174e-01
(5#)67/2,1009,1.898450,1019,2.683801,-3.461963e-01
(5#)34,1024,2.252124,1024,2.681141,-1.743687e-01
(5#)69/2,1048,2.030676,1039,2.683619,-2.787975e-01
(7#)5,1063,2.195023,1063,2.683407,-2.008947e-01
(5#)71/2,1072,2.361462,1069,2.683525,-1.278503e-01
(5#)36,1094,2.506504,1093,2.683318,-6.816513e-02
(5#)73/2,1109,1.952088,1097,2.683284,-3.181418e-01
(5#)37,1123,2.110511,1123,2.682909,-2.399716e-01
(5#)75/2,1126,2.104611,1129,2.683020,-2.428124e-01
(5#)38,1147,2.252003,1153,2.682829,-1.750518e-01
(11#)/2,1244,2.122683,1259,2.681915,-2.338502e-01
(7#)6,1319,1.723241,1361,2.681396,-4.421307e-01
(7#)13/2,1402,1.647631,1459,2.680712,-4.867439e-01
(7#)7,1489,1.865276,1571,2.680140,-3.624600e-01
(7#)15/2,1676,2.104753,1669,2.679787,-2.415392e-01
(7#)8,1774,2.019039,1783,2.679205,-2.828985e-01
(7#)17/2,1849,2.204669,1889,2.678883,-1.948225e-01
(7#)9,1966,1.989272,1993,2.678508,-2.974912e-01
(7#)19/2,2029,1.715762,2048,2.676937,-4.448159e-01
(7#)10,2104,2.003507,2203,2.677756,-2.900800e-01
(7#)21/2,2287,1.989104,2309,2.677521,-2.972071e-01
(11#),2347,2.156625,2411,2.677177,-2.162184e-01
(7#)23/2,2447,2.190317,2503,2.676943,-2.006292e-01
(7#)12,2623,2.363446,2621,2.676720,-1.244714e-01
(7#)25/2,2633,2.168203,2729,2.676474,-2.106015e-01
(7#)13,2809,2.065835,2833,2.676249,-2.588817e-01
(7#)27/2,2909,2.274897,2939,2.675980,-1.623809e-01
(7#)14,2974,2.064698,3041,2.675833,-2.592768e-01
(7#)29/2,3076,1.845344,3137,2.675654,-3.715281e-01
(7#)15,3221,2.107297,3253,2.675448,-2.387108e-01
(7#)31/2,3334,2.210551,3359,2.675223,-1.907909e-01
(7#)16,3386,2.340982,3463,2.675056,-1.333998e-01
(11#)3/2,3559,2.029695,3559,2.674908,-2.760295e-01
(7#)17,3571,2.249487,3673,2.674779,-1.731646e-01
(7#)35/2,3769,1.943543,3779,2.674587,-3.192824e-01
(7#)18,3799,2.075010,3881,2.674486,-2.537912e-01
(7#)37/2,3964,2.216472,3989,2.674342,-1.877866e-01
(7#)19,4051,2.044491,4093,2.674208,-2.685044e-01
(7#)39/2,4153,2.340594,4096,2.673517,-1.329901e-01
(7#)20,4282,2.220909,4297,2.673959,-1.856436e-01
(7#)41/2,4393,2.306710,4409,2.673829,-1.476893e-01
(7#)21,4486,2.143577,4513,2.673712,-2.209918e-01
(7#)43/2,4603,2.102361,4603,2.673583,-2.403585e-01
(11#)2,4651,2.085780,4723,2.673457,-2.482295e-01
(7#)45/2,4801,1.856187,4817,2.673391,-3.648233e-01
(7#)23,4909,2.178086,4933,2.673275,-2.048578e-01
(7#)47/2,4987,2.151973,5039,2.673145,-2.168706e-01
(7#)24,5086,2.176695,5119,2.673070,-2.054200e-01
(7#)49/2,5242,2.126897,5237,2.672990,-2.285336e-01
(7#)25,5308,2.217466,5351,2.672862,-1.867847e-01
(7#)51/2,5416,1.965120,5449,2.672803,-3.075744e-01
(7#)26,5557,2.301782,5563,2.672682,-1.493989e-01
(7#)53/2,5596,2.182571,5669,2.672620,-2.025557e-01
(7#)27,5728,2.248387,5749,2.672555,-1.728219e-01
(11#)5/2,5857,2.159168,5879,2.672429,-2.132648e-01
(7#)28,5906,2.349289,5981,2.672375,-1.288549e-01
(7#)57/2,6038,2.309643,6089,2.672295,-1.458447e-01
(7#)29,6131,2.233345,6173,2.672233,-1.794140e-01
(7#)59/2,6218,2.356115,6299,2.672121,-1.258585e-01
(7#)30,6353,2.124621,6397,2.672075,-2.292619e-01
(7#)61/2,6421,2.298798,6469,2.672025,-1.504502e-01
(7#)31,6568,2.399779,6607,2.671912,-1.074177e-01
(7#)63/2,6719,2.265862,6719,2.671839,-1.648117e-01
(7#)32,6791,2.430712,6823,2.671772,-9.455770e-02
(7#)65/2,6863,2.365471,6917,2.671733,-1.217502e-01
(11#)3,7024,2.323062,7027,2.671646,-1.398086e-01
(7#)67/2,7108,2.390305,7129,2.671604,-1.112581e-01
(7#)34,7219,2.055910,7243,2.671518,-2.619283e-01
(7#)69/2,7246,2.136908,7349,2.671475,-2.232708e-01
(7#)35,7351,2.199762,7451,2.671399,-1.942531e-01
(7#)71/2,7522,2.372402,7559,2.671338,-1.186765e-01
(7#)36,7561,2.321013,7649,2.671307,-1.405641e-01
(7#)73/2,7727,2.199214,7759,2.671230,-1.944390e-01
(7#)37,7846,2.336977,7873,2.671187,-1.336647e-01
(7#)75/2,7951,2.232082,7963,2.671123,-1.795642e-01
(7#)38,8062,2.328303,8081,2.671080,-1.373432e-01
(11#)7/2,8116,2.236375,8179,2.671014,-1.776019e-01
(7#)39,8224,2.292547,8192,2.670682,-1.526704e-01
(7#)79/2,8311,2.234912,8389,2.670927,-1.782237e-01
(7#)40,8429,2.249292,8501,2.670873,-1.717899e-01
(7#)81/2,8599,2.329117,8609,2.670822,-1.368971e-01
(7#)41,8614,2.287560,8713,2.670774,-1.548826e-01
(7#)83/2,8777,2.179478,8819,2.670711,-2.032593e-01
(7#)42,8839,2.279660,8923,2.670664,-1.583008e-01
(7#)85/2,9014,2.281605,9029,2.670632,-1.574360e-01
(7#)43,9091,2.412999,9133,2.670587,-1.014279e-01
(7#)87/2,9173,2.323530,9239,2.670527,-1.391883e-01
(11#)4,9283,2.301998,9343,2.670483,-1.484819e-01
(7#)89/2,9349,2.396602,9439,2.670444,-1.081928e-01
(7#)45,9511,2.294051,9551,2.670398,-1.519083e-01
(7#)91/2,9649,2.163663,9649,2.670372,-2.104152e-01
(7#)46,9748,2.284701,9749,2.670332,-1.559676e-01
(7#)93/2,9817,2.375649,9829,2.670300,-1.169202e-01
(7#)47,9941,2.284239,9973,2.670244,-1.561369e-01
(7#)95/2,10078,2.360845,10079,2.670190,-1.231300e-01
(7#)48,10174,2.343381,10181,2.670165,-1.305455e-01
(7#)97/2,10273,2.292671,10289,2.670125,-1.524078e-01
(7#)49,10369,2.243034,10391,2.670075,-1.742771e-01
(11#)9/2,10462,2.194423,10499,2.670035,-1.961724e-01
(7#)50,10501,2.449522,10601,2.670011,-8.618969e-02
(7#)101/2,10687,2.319381,10709,2.669973,-1.407680e-01
(7#)51,10786,2.430362,10799,2.669930,-9.401204e-02
(7#)103/2,10883,2.318296,10909,2.669903,-1.412097e-01
(7#)52,11023,2.452351,11003,2.669860,-8.497888e-02
(7#)105/2,11054,2.258518,11087,2.669831,-1.673063e-01
(7#)53,11197,2.391314,11213,2.669801,-1.101609e-01
(7#)107/2,11272,2.131467,11329,2.669763,-2.251792e-01
(7#)54,11353,2.334737,11443,2.669714,-1.340721e-01
(7#)109/2,11461,2.347919,11549,2.669692,-1.284337e-01
(11#)5,11593,2.296655,11633,2.669665,-1.504993e-01
(7#)111/2,11749,2.392249,11743,2.669620,-1.097022e-01
(7#)56,11839,2.348206,11863,2.669582,-1.282703e-01
(7#)113/2,11932,2.392674,11969,2.669561,-1.095025e-01
(7#)57,11971,2.386736,12073,2.669529,-1.119753e-01
(7#)115/2,12101,2.395745,12163,2.669492,-1.081939e-01
(7#)58,12281,2.223656,12281,2.669467,-1.827261e-01
(7#)117/2,12326,2.217079,12347,2.669437,-1.856770e-01
(7#)59,12422,2.346659,12491,2.669396,-1.288596e-01
(7#)119/2,12574,2.295932,12589,2.669378,-1.507066e-01
(7#)60,12671,2.225896,12703,2.669335,-1.816698e-01
(11#)11/2,12757,2.354186,12809,2.669316,-1.256272e-01
(7#)61,12878,2.336543,12911,2.669278,-1.331355e-01
(7#)123/2,12982,2.377047,13009,2.669260,-1.159423e-01
(7#)62,13049,2.340065,13121,2.669230,-1.316113e-01
(7#)125/2,13142,2.381559,13229,2.669201,-1.140239e-01
(7#)63,13241,2.313245,13331,2.669164,-1.431140e-01
