FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,CboundMin(n_a),n_b,CboundMax(n_b),jitter
4,4,4,4,2.748,4,2.987,4,2.870137,4,2.87013699,4,2.986907,2.870136988,4,0.374981,4,3.84362411,4,0.000000,4,3.84362411,2.717853
5,5,5,5,2.719,5,3.294,5,4.266093,5,4.26609329,5,3.293911,4.266093288,5,1.114773,5,5.18058079,5,0.000000,5,5.18058079,3.663224
6,6,6,6,4.935,6,5.811,6,6.218875,6,6.21887455,6,5.811305,6.218874548,6,2.945936,6,6.42080399,6,1.363333,6,6.42080399,3.424765
7,7,7,7,2.511,7,2.688,7,3.393036,7,3.39303648,7,2.688216,3.393036479,7,0.000000,7,7.25644045,7,0.000000,7,7.57313262,4.079396
8,8,8,8,2.443,8,2.604,8,2.814638,8,2.81463781,8,2.603689,2.814637805,8,0.445228,8,5.18404721,8,0.000000,8,8.39009578,3.724143
9,9,9,9,4.376,9,4.822,9,5.820367,9,5.82036707,9,4.822380,5.820367067,9,2.324833,9,9.31590122,9,0.000000,9,9.65559169,4.158239
10,10,10,10,3.320,10,3.636,10,3.855372,10,3.85537204,10,3.635841,3.855372038,10,0.634184,10,7.07656009,10,0.000000,10,9.13663890,4.430333
11,11,11,11,2.551,11,2.693,11,3.097468,11,3.09746822,11,2.693497,3.097468223,11,0.000000,11,7.28088526,11,0.000000,11,9.71693229,4.227240
12,12,12,12,5.132,12,5.408,12,5.565937,12,5.56593708,12,5.408407,5.565937077,12,2.007550,12,9.12432395,12,0.000000,12,12.13391579,4.006582
13,13,13,13,2.627,13,2.818,13,3.090238,13,3.09023772,13,2.818289,3.090237720,13,0.763571,13,5.41690455,13,0.000000,13,10.08614915,4.269037
14,14,14,14,3.185,14,3.408,14,3.390541,14,3.39054128,14,3.407763,3.390541276,14,0.324487,14,6.45659590,14,0.000000,14,10.05000990,4.142552
15,29,(5#)/2,16,2.878,21,7.190,16,2.765142,15,7.37996871,21,4.602564,4.134925296,29,0.000000,15,10.78582340,29,0.000000,21,14.51836978,4.480635
30,44,(5#),31,3.599,42,9.870,32,2.734624,30,7.34072410,36,5.798929,4.157279100,44,0.000000,42,10.56084357,44,0.000000,30,14.83143315,4.666918
45,59,(5#)3/2,47,4.318,45,11.063,59,2.764597,45,7.28666194,52,6.654728,4.056517987,59,0.000000,51,10.61163044,59,0.000000,45,16.02487034,4.556597
60,74,(5#)2,61,4.914,60,12.965,64,2.715385,60,7.24494775,67,7.677272,4.094513910,67,0.000000,66,10.25073301,74,0.000000,60,15.87386525,4.126810
75,89,(5#)5/2,79,5.609,75,14.354,89,2.743169,75,7.23135463,82,8.574615,4.101748100,86,0.000000,87,9.43793596,89,0.000000,75,15.23113818,3.884322
90,104,(5#)3,97,6.281,90,16.072,103,2.732657,90,7.23185422,97,9.367129,4.071701082,101,0.000000,102,9.39268243,104,0.000000,90,14.58545970,3.627009
105,119,(7#)/2,107,6.629,105,20.808,113,2.731305,105,8.66686583,112,10.360468,4.150129383,116,0.000000,105,10.67381030,119,0.000000,105,17.16236065,3.610115
120,134,(5#)4,122,7.272,120,18.872,128,2.702466,120,7.20928755,127,10.982580,4.079119631,127,0.000000,120,9.32126434,134,0.000000,120,13.75778130,3.293536
135,149,(5#)9/2,137,7.651,135,20.060,149,2.720304,135,7.20410054,142,11.679149,4.062655944,142,0.000000,135,9.38598523,149,0.000000,135,13.48634498,3.181084
150,164,(5#)5,151,8.098,150,21.524,163,2.715599,150,7.20511157,157,12.350932,4.040970850,157,0.000000,150,9.30913095,164,0.000000,150,13.19038273,3.053212
165,179,(5#)11/2,167,8.603,165,25.165,179,2.712819,165,8.00082618,172,13.288745,4.115601962,172,0.000000,165,9.97023718,179,0.000000,165,13.54621404,2.968546
180,194,(5#)6,181,9.038,180,24.008,193,2.712054,180,7.19355883,187,13.795484,4.053336769,191,0.000000,180,8.45133094,194,0.000000,180,12.75869052,2.870378
195,209,(5#)13/2,197,9.520,195,27.366,199,2.709905,195,7.84428932,202,14.655520,4.106006598,206,0.000000,195,9.32081832,209,0.000000,195,13.22652218,2.811903
210,224,(7#),211,9.929,210,31.692,223,2.707019,210,8.62979456,217,15.321704,4.100967873,212,0.001027,210,10.01915580,224,0.000000,210,15.75884391,2.880515
225,239,(5#)15/2,227,10.392,231,27.896,239,2.705377,231,7.18508610,232,15.944358,4.091830667,227,0.000000,231,9.14407968,239,0.000000,225,12.30522802,2.672545
240,254,(5#)8,241,10.795,240,28.700,251,2.704265,240,7.18404410,247,16.449649,4.053707028,241,0.153961,240,8.84935233,254,0.000000,240,12.15817809,2.608840
255,269,(5#)17/2,256,11.211,255,31.686,256,2.693275,255,7.66085308,262,17.067265,4.052742387,256,0.122748,255,9.37237594,269,0.000000,255,12.53455398,2.564762
270,284,(5#)9,271,11.625,270,30.938,283,2.701699,270,7.18281338,277,17.785348,4.073078282,277,0.211780,270,8.88542965,284,0.000000,270,11.93968854,2.511701
285,299,(5#)19/2,293,12.226,285,33.792,293,2.701790,285,7.60337193,292,18.573524,4.111588781,296,0.406384,285,8.52478106,299,0.000000,285,12.27700293,2.475251
