Dec,n_1,C_max,Npred_0,Cbound,Lambda_max,Jitter,JitterRatio
0,4,1.92181200,4,2.87013699,-4.010913e-01,0.000000,0.000000,EXPECTED
0,5,2.59029000,5,4.26609329,-4.989286e-01,0.000000,0.000000,EXPECTED
0,6,2.14026800,6,6.21887455,-1.066658e+00,0.000000,0.000000,EXPECTED
0,8,2.16203900,8,2.81463781,-2.637818e-01,0.000000,0.000000,EXPECTED
0,9,4.82779600,9,5.82036707,-1.869733e-01,0.000000,0.000000,EXPECTED
1,15,4.19059200,15,7.37996871,-5.659274e-01,0.000000,0.000000,EXPECTED
1,21,5.56147000,21,6.66425498,-1.808957e-01,0.000000,0.000000,EXPECTED
1,30,6.16967700,30,7.34072410,-1.737910e-01,0.000000,0.000000,EXPECTED
1,45,6.58667200,45,7.28666194,-1.009973e-01,0.000000,0.000000,EXPECTED
1,57,5.83795100,51,5.80359534,5.902267e-03,0.000000,0.000000,VIOLATION
1,60,6.70546300,60,7.24494775,-7.738180e-02,0.000000,0.000000,EXPECTED
1,75,7.05323900,75,7.23135463,-2.493944e-02,0.000000,0.000000,EXPECTED
1,81,4.82779600,84,6.50338549,-2.979328e-01,0.000000,0.000000,EXPECTED
1,90,5.39954300,90,7.23185422,-2.921811e-01,0.000000,0.000000,EXPECTED
2,105,8.33051800,105,8.66686583,-3.958159e-02,0.000000,0.000000,EXPECTED
2,210,8.16901700,210,8.62979456,-5.487212e-02,0.000000,0.000000,EXPECTED
2,315,8.43110600,315,8.61115415,-2.113040e-02,0.000000,0.000000,EXPECTED
2,420,7.99188200,420,8.60223889,-7.359623e-02,0.000000,0.000000,EXPECTED
2,570,7.91213200,525,8.59706998,-8.302417e-02,0.000000,0.000000,EXPECTED
2,660,7.91893600,630,8.59207809,-8.158377e-02,0.000000,0.000000,EXPECTED
2,735,8.54549600,735,8.58719170,-4.867395e-03,0.000000,0.000000,EXPECTED
2,840,8.20414600,840,8.58407866,-4.526953e-02,0.000000,0.000000,EXPECTED
2,975,7.58665200,945,8.58200080,-1.232767e-01,0.000000,0.000000,EXPECTED
3,1155,9.13559600,1155,9.53007910,-4.227459e-02,0.000000,0.000000,EXPECTED
3,2730,9.53914600,2310,9.51595498,2.434102e-03,0.000000,0.000000,VIOLATION
3,3465,9.20509800,3465,9.50870704,-3.245045e-02,0.000000,0.000000,EXPECTED
3,4620,9.43200300,4620,9.50395507,-7.599554e-03,0.000000,0.000000,EXPECTED
3,5775,9.30254500,5775,9.50061339,-2.106835e-02,0.000000,0.000000,EXPECTED
3,6930,9.57022800,6930,9.49810045,7.565204e-03,0.000000,0.000000,VIOLATION
3,7770,9.12968600,7140,9.11771327,1.312267e-03,0.000000,0.000000,VIOLATION
3,8925,9.64346400,8085,9.49598970,1.541081e-02,0.000000,0.000000,VIOLATION
3,9240,9.63749700,9240,9.49418124,1.498232e-02,0.000000,0.000000,VIOLATION
4,15015,10.42234800,15015,10.35083057,6.885582e-03,0.000000,0.000000,VIOLATION
4,21945,10.03630600,21945,10.04198433,-5.656189e-04,0.000000,0.000000,EXPECTED
4,30030,10.29324600,30030,10.34278742,-4.801457e-03,0.000000,0.000000,EXPECTED
4,45045,10.26764100,45045,10.33859678,-6.886853e-03,0.000000,0.000000,EXPECTED
4,58905,10.14218900,58905,10.10632240,3.542644e-03,0.000000,0.000000,VIOLATION
4,60060,10.28857900,60060,10.33582324,-4.581400e-03,0.000000,0.000000,EXPECTED
4,75075,10.18649800,75075,10.33378523,-1.435553e-02,0.000000,0.000000,EXPECTED
4,87780,9.96005200,87780,10.02851528,-6.850271e-03,0.000000,0.000000,EXPECTED
4,90090,10.38468900,90090,10.33218950,5.068294e-03,0.000000,0.000000,VIOLATION
5,150150,10.40441000,105105,10.33087844,7.092437e-03,0.000000,0.000000,VIOLATION
5,255255,10.98879400,255255,11.01228466,-2.135411e-03,0.000000,0.000000,EXPECTED
5,345345,10.82307500,345345,10.81343727,8.908765e-04,0.000000,0.000000,VIOLATION
5,435435,10.80823100,435435,10.70261344,9.820015e-03,0.000000,0.000000,VIOLATION
5,510510,11.02689900,510510,11.00731275,1.777804e-03,0.000000,0.000000,VIOLATION
5,690690,10.75535000,690690,10.80879355,-4.956715e-03,0.000000,0.000000,EXPECTED
5,765765,10.99909900,765765,11.00465781,-5.052601e-04,0.000000,0.000000,EXPECTED
5,855855,10.95061400,855855,10.92304735,2.520535e-03,0.000000,0.000000,VIOLATION
5,930930,10.67473800,930930,10.67143888,3.091064e-04,0.000000,0.000000,VIOLATION
6,1276275,11.04350700,1021020,11.00287541,3.686014e-03,0.000000,0.000000,VIOLATION
6,2042040,11.03638900,2042040,10.99889284,3.403287e-03,0.000000,0.000000,VIOLATION
6,3573570,11.04745000,3063060,10.99674671,4.600157e-03,0.000000,0.000000,VIOLATION
6,4849845,11.62799800,4849845,11.64119356,-1.134166e-03,0.000000,0.000000,EXPECTED
6,5870865,11.54451000,5870865,11.51705495,2.381023e-03,0.000000,0.000000,VIOLATION
6,6561555,11.42982700,6561555,11.43183220,-1.754203e-04,0.000000,0.000000,EXPECTED
6,7402395,11.42121500,7402395,11.39961102,1.893357e-03,0.000000,0.000000,VIOLATION
6,8273265,11.32235400,8273265,11.31527384,6.255214e-04,0.000000,0.000000,VIOLATION
6,9699690,11.63043200,9699690,11.63782117,-6.351289e-04,0.000000,0.000000,EXPECTED
7,14549535,11.63795100,14549535,11.63598835,1.686565e-04,0.000000,0.000000,VIOLATION
7,29099070,11.62967400,24249225,11.63381159,-3.557154e-04,0.000000,0.000000,EXPECTED
7,38798760,11.61867000,33948915,11.63245216,-1.185505e-03,0.000000,0.000000,EXPECTED
7,48498450,11.62919400,43648605,11.63147281,-1.959368e-04,0.000000,0.000000,EXPECTED
7,58198140,11.64582400,53348295,11.63071187,1.298486e-03,0.000000,0.000000,VIOLATION
7,67897830,11.62485400,63047985,11.63009216,-4.504986e-04,0.000000,0.000000,EXPECTED
7,77597520,11.63685500,72747675,11.62957093,6.261443e-04,0.000000,0.000000,VIOLATION
7,82447365,11.63046100,82447365,11.62912216,1.151216e-04,0.000000,0.000000,VIOLATION
7,96996900,11.62948300,92147055,11.62872880,6.485451e-05,0.000000,0.000000,VIOLATION
