START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
5,5,2.590290,5,1.675803,4.354774e-01,4.000000,4.413053e-01
6,6,3.210402,6,3.273539,-1.947550e-02,2.666667,-4.424936e-02
8,8,2.162039,8,0.652599,1.197844e+00,4.000000,6.981559e-01
9,9,3.862237,9,4.532955,-1.601275e-01,2.666667,-4.688833e-01
10,10,2.120759,10,1.734613,2.009897e-01,4.000000,1.820791e-01
11,11,1.916634,11,1.381602,3.273268e-01,4.000000,2.558892e-01
12,12,5.292652,12,4.718685,1.147893e-01,2.666667,4.182917e-01
13,13,1.644741,13,1.639885,2.956808e-03,4.000000,2.398857e-03
14,14,3.095388,14,2.039398,4.172586e-01,4.000000,5.306769e-01
5PR/2,23,1.228915,29,0.642890,6.479133e-01,4.000000,3.747068e-01
5PR,34,0.956555,32,1.242432,-2.614877e-01,4.000000,-1.904050e-01
5PR3/2,53,2.199519,47,1.438615,4.245579e-01,4.000000,6.031328e-01
5PR2,67,1.928666,64,1.530681,2.311158e-01,4.000000,3.681572e-01
5PR5/2,79,1.735643,79,1.587041,8.950667e-02,4.000000,1.537229e-01
5PR3,103,1.930851,97,1.655444,1.538916e-01,4.000000,3.191239e-01
7PR/2,116,2.237289,109,1.644340,3.079258e-01,4.000000,7.341564e-01
5PR4,124,2.151399,128,1.278334,5.205607e-01,4.000000,1.186724e+00
5PR9/2,142,1.964818,139,1.359136,3.685504e-01,4.000000,8.644060e-01
5PR5,163,1.789399,157,1.462441,2.017729e-01,4.000000,5.019671e-01
5PR11/2,166,2.118845,167,1.530987,3.249585e-01,4.000000,9.369780e-01
5PR6,181,1.668171,191,1.583365,5.217549e-02,4.000000,1.467930e-01
5PR13/2,199,1.565312,199,1.624176,-3.691545e-02,4.000000,-1.045175e-01
7PR,214,2.088662,211,1.663003,2.278987e-01,4.000000,7.839261e-01
5PR15/2,229,1.987282,239,1.717726,1.457666e-01,4.000000,5.370151e-01
5PR8,241,2.197845,241,1.748991,2.284383e-01,4.000000,8.989614e-01
5PR17/2,256,2.375459,256,1.765138,2.969618e-01,4.000000,1.270303e+00
5PR9,277,2.000289,281,1.811954,9.888585e-02,4.000000,4.161717e-01
5PR19/2,298,2.369115,293,1.859413,2.422556e-01,4.000000,1.157180e+00
5PR10,313,1.834381,311,1.870653,-1.958047e-02,4.000000,-8.560112e-02
7PR3/2,316,1.821502,317,1.901075,-4.275808e-02,5.174802,-1.469779e-01
5PR11,334,2.192816,331,1.904961,1.407250e-01,5.174802,5.469339e-01
5PR23/2,346,2.136303,349,1.934351,9.930490e-02,5.174802,3.972971e-01
5PR12,361,2.491896,373,1.960864,2.396587e-01,5.174802,1.091593e+00
5PR25/2,389,2.364384,383,1.960297,1.874215e-01,5.174802,8.453429e-01
5PR13,404,2.490536,401,1.994292,2.222088e-01,5.174802,1.070331e+00
5PR27/2,419,2.617346,409,1.997010,2.705098e-01,5.174802,1.355723e+00
7PR2,433,2.371783,421,2.017530,1.617680e-01,5.174802,7.893134e-01
5PR29/2,439,2.172389,439,2.021923,7.177844e-02,5.174802,3.447938e-01
5PR15,451,2.484088,461,2.049478,1.923205e-01,5.174802,1.029211e+00
5PR31/2,466,2.603518,467,2.046866,2.405538e-01,5.174802,1.329766e+00
5PR16,491,2.170204,491,2.073531,4.556822e-02,5.174802,2.388954e-01
5PR33/2,496,2.158537,503,2.068116,4.279263e-02,5.174802,2.271331e-01
5PR17,514,2.425229,512,2.078622,1.542208e-01,5.174802,8.812063e-01
7PR5/2,526,2.224923,526,2.105466,5.518549e-02,5.174802,3.093283e-01
5PR18,548,2.471090,541,2.104048,1.607962e-01,5.174802,9.688264e-01
5PR37/2,556,2.138928,569,2.108000,1.456514e-02,5.174802,8.450072e-02
5PR19,571,2.250802,571,2.116798,6.138203e-02,5.174802,3.670032e-01
5PR39/2,593,2.479793,587,2.130975,1.515955e-01,5.174802,9.735976e-01
5PR20,601,2.459414,601,2.133002,1.423927e-01,5.174802,9.259288e-01
5PR41/2,619,2.264139,619,2.148787,5.229106e-02,6.349604,2.721468e-01
7PR3,631,2.515024,631,2.142622,1.602520e-01,6.349604,8.903037e-01
5PR43/2,653,2.451200,647,2.157461,1.276456e-01,6.349604,7.144894e-01
5PR22,661,2.293985,661,2.166138,5.734462e-02,6.657004,3.010382e-01
5PR45/2,677,2.655002,677,2.169566,2.019183e-01,6.657004,1.162136e+00
5PR23,694,2.475723,701,2.181279,1.266211e-01,6.657004,7.221490e-01
5PR47/2,706,1.932420,709,2.177673,-1.194838e-01,6.657004,-6.062667e-01
5PR24,724,2.401837,733,2.191810,9.150617e-02,6.657004,5.313591e-01
7PR7/2,736,2.497206,739,2.190402,1.310874e-01,6.657004,7.806239e-01
5PR25,757,2.448382,751,2.196368,1.086223e-01,6.657004,6.484633e-01
5PR51/2,772,2.412496,769,2.209379,8.795042e-02,6.657004,5.313638e-01
5PR26,787,2.261955,787,2.204861,2.556502e-02,6.657004,1.517978e-01
5PR53/2,802,2.347371,797,2.211732,5.952006e-02,6.657004,3.638313e-01
5PR27,811,2.444106,811,2.214741,9.854395e-02,6.657004,6.227936e-01
5PR55/2,829,2.750946,829,2.218654,2.150441e-01,6.657004,1.467772e+00
7PR4,841,2.494510,853,2.231361,1.114806e-01,6.657004,7.403277e-01
5PR57/2,859,2.120215,863,2.224936,-4.821065e-02,6.657004,-2.970428e-01
5PR29,877,2.529782,881,2.233409,1.246040e-01,6.657004,8.529839e-01
5PR59/2,892,2.389002,887,2.239313,6.470658e-02,6.657004,4.328833e-01
5PR30,907,2.469201,911,2.238465,9.810425e-02,6.657004,6.799570e-01
5PR61/2,916,2.557395,919,2.245250,1.301723e-01,6.657004,9.255628e-01
5PR31,944,2.604008,941,2.255131,1.438437e-01,6.657004,1.051937e+00
7PR9/2,958,2.578016,953,2.245098,1.382709e-01,6.657004,1.012866e+00
5PR32,971,2.653928,971,2.255726,1.625689e-01,6.657004,1.227660e+00
5PR65/2,982,2.428988,977,2.260891,7.171573e-02,6.657004,5.205142e-01
5PR33,997,2.403811,991,2.256092,6.342128e-02,6.657004,4.620562e-01
5PR67/2,1009,2.382122,1009,2.265095,5.037499e-02,6.657004,3.707649e-01
5PR34,1024,2.159339,1024,2.269270,-4.965604e-02,6.657004,-3.519576e-01
5PR69/2,1039,2.526535,1039,2.264825,1.093513e-01,6.657004,8.466146e-01
7PR5,1063,2.578666,1051,2.270494,1.272748e-01,6.657004,1.005104e+00
5PR71/2,1069,2.567684,1069,2.278781,1.193637e-01,6.657004,9.537343e-01
5PR36,1087,2.443828,1091,2.275394,7.141244e-02,6.657004,5.641816e-01
5PR73/2,1109,2.406940,1097,2.279840,5.425097e-02,6.657004,4.274012e-01
5PR37,1114,2.490995,1123,2.288514,8.477953e-02,6.657004,6.923824e-01
5PR75/2,1126,2.196286,1129,2.279522,-3.719802e-02,6.657004,-2.857120e-01
5PR38,1142,2.537361,1151,2.287344,1.037332e-01,6.657004,8.701350e-01
11PR/2,1213,2.425805,1249,2.289806,5.769633e-02,6.657004,5.019128e-01
7PR6,1336,2.178634,1361,2.301853,-5.501638e-02,7.301569,-4.410924e-01
7PR13/2,1468,2.256079,1451,2.313895,-2.530390e-02,7.301569,-2.167881e-01
7PR7,1546,2.243897,1559,2.323912,-3.503789e-02,7.301569,-3.160923e-01
7PR15/2,1609,2.388505,1663,2.332764,2.361382e-02,7.301569,2.308166e-01
7PR8,1753,2.371121,1783,2.342858,1.199129e-02,7.301569,1.231538e-01
7PR17/2,1816,2.501503,1801,2.347378,6.359279e-02,7.301569,6.765504e-01
7PR9,1951,2.491569,1931,2.352209,5.755775e-02,7.301569,6.438657e-01
7PR19/2,2029,2.361029,2048,2.356023,2.122513e-03,7.301569,2.415285e-02
7PR10,2147,2.432338,2179,2.362371,2.918716e-02,7.671379,3.363613e-01
7PR21/2,2287,2.426640,2293,2.364193,2.607085e-02,7.671379,3.117653e-01
11PR,2344,2.486771,2311,2.367937,4.896597e-02,7.671379,5.967268e-01
7PR23/2,2446,2.459575,2437,2.369154,3.745564e-02,8.008543,4.524250e-01
7PR12,2539,2.390593,2609,2.372025,7.797432e-03,8.008543,9.774579e-02
7PR25/2,2719,2.364339,2711,2.374552,-4.310298e-03,8.008543,-5.532451e-02
7PR13,2734,2.260108,2731,2.376268,-5.011859e-02,8.008543,-6.327116e-01
7PR27/2,2866,2.498550,2857,2.376448,5.010363e-02,8.008543,6.878967e-01
7PR14,2974,2.384523,3037,2.378816,2.396219e-03,8.008543,3.365885e-02
7PR29/2,3076,2.409724,3109,2.379126,1.277902e-02,8.008543,1.836648e-01
7PR15,3169,2.398188,3253,2.379156,7.967649e-03,8.008543,1.181964e-01
7PR31/2,3316,2.559556,3359,2.379597,7.290266e-02,8.414160,1.089746e+00
7PR16,3463,2.515341,3463,2.380438,5.512388e-02,8.414160,8.359105e-01
11PR3/2,3559,2.463021,3529,2.380086,3.425202e-02,8.414160,5.212732e-01
7PR17,3646,2.455534,3673,2.380042,3.122612e-02,8.414160,4.890526e-01
7PR35/2,3754,2.438505,3739,2.380317,2.415147e-02,8.414160,3.820676e-01
7PR18,3856,2.461009,3881,2.379229,3.379494e-02,8.414160,5.523512e-01
7PR37/2,3931,2.460542,3947,2.378824,3.377540e-02,8.414160,5.590348e-01
7PR19,4021,2.312876,4093,2.377980,-2.775962e-02,8.414160,-4.578274e-01
7PR39/2,4162,2.490765,4096,2.376933,4.677889e-02,8.783970,7.672202e-01
7PR20,4276,2.439237,4297,2.376595,2.601649e-02,8.783970,4.378632e-01
7PR41/2,4376,2.593592,4409,2.375091,8.800803e-02,8.783970,1.557520e+00
7PR21,4423,2.571975,4513,2.375755,7.935880e-02,8.783970,1.423766e+00
7PR43/2,4612,2.584675,4583,2.373089,8.540729e-02,8.783970,1.553387e+00
11PR2,4702,2.515295,4723,2.372380,5.849642e-02,8.783970,1.073603e+00
7PR45/2,4801,2.322255,4789,2.371283,-2.089246e-02,8.783970,-3.722317e-01
7PR23,4933,2.423397,4933,2.370725,2.197446e-02,8.783970,4.090571e-01
7PR47/2,4987,2.610945,4999,2.368368,9.751111e-02,8.783970,1.903134e+00
7PR24,5081,2.631925,5119,2.367342,1.059477e-01,9.228861,2.011919e+00
7PR49/2,5242,2.568675,5209,2.365653,8.233611e-02,9.228861,1.564553e+00
7PR25,5272,2.500832,5351,2.364921,5.587886e-02,9.228861,1.069195e+00
7PR51/2,5416,2.532320,5419,2.363661,6.892419e-02,9.228861,1.339736e+00
7PR26,5557,2.563894,5563,2.361738,8.212941e-02,9.228861,1.638479e+00
7PR53/2,5578,2.556758,5669,2.359381,8.034075e-02,9.228861,1.623115e+00
7PR27,5728,2.557604,5749,2.366050,7.784898e-02,9.228861,1.592291e+00
11PR5/2,5836,2.546932,5839,2.370988,7.158275e-02,9.228861,1.480113e+00
7PR28,5923,2.517829,5981,2.377628,5.729367e-02,9.228861,1.201444e+00
7PR57/2,6046,2.528853,6047,2.382956,5.942411e-02,9.228861,1.260868e+00
7PR29,6184,2.559927,6173,2.388147,6.946099e-02,9.228861,1.508333e+00
7PR59/2,6211,2.576152,6257,2.393036,7.373396e-02,9.228861,1.624713e+00
7PR30,6361,2.479787,6397,2.397941,3.356222e-02,9.228861,7.386899e-01
7PR61/2,6406,2.490436,6469,2.403289,3.561958e-02,9.228861,7.933582e-01
7PR31,6607,2.597988,6607,2.407681,7.607326e-02,9.634478,1.686832e+00
7PR63/2,6616,2.523767,6719,2.411942,4.532039e-02,9.634478,1.004148e+00
7PR32,6781,2.522179,6823,2.416226,4.291639e-02,9.634478,9.627875e-01
7PR65/2,6826,2.462926,6917,2.420215,1.749369e-02,9.634478,3.922420e-01
11PR3,6967,2.538098,7027,2.424455,4.580822e-02,9.634478,1.056478e+00
7PR67/2,7069,2.554651,7103,2.428212,5.076044e-02,9.634478,1.185268e+00
7PR34,7219,2.490658,7243,2.432029,2.382104e-02,9.634478,5.579755e-01
7PR69/2,7312,2.509917,7349,2.436521,2.967848e-02,9.634478,7.064251e-01
7PR35,7411,2.570808,7451,2.440278,5.210828e-02,10.122445,1.208619e+00
7PR71/2,7516,2.585750,7559,2.443558,5.656043e-02,10.122445,1.331383e+00
7PR36,7591,2.565480,7649,2.447121,4.723336e-02,10.122445,1.118457e+00
7PR73/2,7666,2.609550,7727,2.450307,6.296447e-02,10.122445,1.516699e+00
7PR37,7804,2.656910,7873,2.454231,7.935032e-02,10.122445,1.958678e+00
7PR75/2,7894,2.550259,7937,2.456545,3.743903e-02,10.122445,9.113630e-01
7PR38,7993,2.607285,8081,2.460850,5.780263e-02,10.122445,1.444119e+00
11PR7/2,8111,2.618053,8179,2.463846,6.070737e-02,10.122445,1.535092e+00
7PR39,8221,2.570447,8192,2.466135,4.142767e-02,10.122445,1.039684e+00
7PR79/2,8311,2.528721,8389,2.469526,2.368741e-02,10.122445,6.010140e-01
7PR40,8431,2.539771,8501,2.472371,2.689631e-02,10.122445,6.914251e-01
7PR81/2,8506,2.561064,8609,2.475422,3.401191e-02,10.122445,8.872452e-01
7PR41,8707,2.572145,8713,2.478537,3.707171e-02,10.122445,9.788913e-01
7PR83/2,8746,2.601277,8819,2.480977,4.735004e-02,10.122445,1.269936e+00
7PR42,8887,2.606480,8923,2.483551,4.831126e-02,10.122445,1.309610e+00
7PR85/2,9011,2.596887,9029,2.485873,4.368951e-02,10.122445,1.193623e+00
7PR43,9109,2.556399,9133,2.488904,2.675717e-02,10.122445,7.322230e-01
7PR87/2,9157,2.582625,9239,2.491665,3.585516e-02,10.122445,9.957157e-01
11PR4,9283,2.627969,9343,2.493695,5.244576e-02,10.122445,1.482771e+00
7PR89/2,9431,2.595367,9439,2.496172,3.896957e-02,10.122445,1.104183e+00
7PR45,9511,2.614054,9551,2.498343,4.527456e-02,10.122445,1.299960e+00
7PR91/2,9623,2.590067,9649,2.501632,3.474043e-02,10.122445,1.001488e+00
7PR46,9689,2.628934,9749,2.503344,4.895100e-02,10.122445,1.433768e+00
7PR93/2,9829,2.669105,9859,2.505200,6.337464e-02,10.122445,1.887681e+00
7PR47,9904,2.601232,9973,2.507313,3.677352e-02,10.122445,1.091434e+00
7PR95/2,10058,2.672481,10079,2.510452,6.254444e-02,10.567336,1.818660e+00
7PR48,10084,2.530217,10181,2.512129,7.174469e-03,10.567336,2.046323e-01
7PR97/2,10196,2.660810,10289,2.514055,5.673360e-02,10.567336,1.674043e+00
7PR49,10321,2.534621,10391,2.515758,7.469969e-03,10.567336,2.168411e-01
11PR9/2,10427,2.613939,10499,2.518239,3.729843e-02,11.102550,1.055615e+00
7PR50,10594,2.630831,10601,2.520051,4.302063e-02,11.102550,1.231253e+00
7PR101/2,10639,2.540009,10709,2.521595,7.275987e-03,11.102550,2.062942e-01
7PR51,10768,2.678243,10799,2.523912,5.935090e-02,11.102550,1.740378e+00
7PR103/2,10909,2.618682,10909,2.526231,3.594267e-02,11.102550,1.050887e+00
7PR52,10936,2.693686,11003,2.527669,6.361298e-02,11.102550,1.899862e+00
7PR105/2,11041,2.593885,11119,2.529032,2.532013e-02,11.102550,7.483001e-01
7PR53,11212,2.672506,11213,2.531384,5.425042e-02,11.102550,1.639125e+00
7PR107/2,11311,2.653797,11329,2.532780,4.667393e-02,11.102550,1.417018e+00
7PR54,11423,2.679684,11443,2.534543,5.568553e-02,11.102550,1.712917e+00
7PR109/2,11497,2.681534,11549,2.536394,5.564563e-02,11.102550,1.725366e+00
11PR5,11602,2.585615,11633,2.537838,1.865085e-02,11.102550,5.711992e-01
7PR111/2,11749,2.605377,11719,2.539381,2.565704e-02,11.102550,7.936007e-01
7PR56,11839,2.484349,11863,2.541007,-2.254981e-02,11.102550,-6.878886e-01
7PR113/2,11962,2.658242,11969,2.542715,4.443259e-02,11.102550,1.412474e+00
7PR57,12004,2.516768,12073,2.544134,-1.081478e-02,11.102550,-3.368726e-01
7PR115/2,12079,2.696891,12143,2.545668,5.770654e-02,11.102550,1.870032e+00
7PR58,12266,2.576540,12281,2.547540,1.131923e-02,11.102550,3.618210e-01
7PR117/2,12379,2.630355,12379,2.548723,3.152637e-02,11.102550,1.024885e+00
7PR59,12442,2.547527,12491,2.550058,-9.930193e-04,11.102550,-3.200285e-02
7PR119/2,12589,2.609922,12589,2.551701,2.256014e-02,11.102550,7.407146e-01
