START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
4,4,3.843624,4,2.870137,2.920559e-01
5,5,2.590290,5,4.266093,-4.989286e-01
6,6,3.210402,6,5.413807,-5.225564e-01
8,8,2.162039,8,2.814638,-2.637819e-01
9,9,3.862237,9,5.820367,-4.101168e-01
10,10,2.120759,10,3.855372,-5.976935e-01
11,11,1.916634,11,3.298236,-5.428173e-01
12,12,5.292652,12,5.894830,-1.077563e-01
13,13,1.644741,13,3.284626,-6.916699e-01
14,14,3.095388,14,3.587093,-1.474289e-01
5PR/2,23,1.228915,29,3.016474,-8.979569e-01
5PR,34,0.956555,32,2.913777,-1.113867e+00
5PR3/2,53,2.199519,47,2.987631,-3.062421e-01
5PR2,67,1.928666,64,2.954059,-4.263516e-01
5PR5/2,79,1.735643,79,2.980314,-5.406507e-01
5PR3,103,1.930851,97,2.962169,-4.279609e-01
7PR/2,116,2.237289,109,2.968810,-2.828963e-01
5PR4,124,2.151399,128,2.928341,-3.083177e-01
5PR9/2,142,1.964818,139,2.958434,-4.092605e-01
5PR5,163,1.789399,157,2.945854,-4.985189e-01
5PR11/2,166,2.118845,167,2.948848,-3.305435e-01
5PR6,181,1.668171,191,2.939699,-5.665794e-01
5PR13/2,199,1.565312,199,2.941545,-6.308498e-01
7PR,214,2.088662,211,2.944011,-3.432493e-01
5PR15/2,229,1.987282,239,2.936427,-3.904257e-01
5PR8,241,2.197845,241,2.936757,-2.898286e-01
5PR17/2,256,2.375459,256,2.926281,-2.085417e-01
5PR9,277,2.000289,281,2.931769,-3.823143e-01
5PR19/2,298,2.369115,293,2.933251,-2.135949e-01
5PR10,313,1.834381,311,2.935205,-4.700702e-01
7PR3/2,316,1.821502,317,2.935793,-4.773162e-01
5PR11,334,2.192816,331,2.928150,-2.891843e-01
5PR23/2,346,2.136303,349,2.929819,-3.158639e-01
5PR12,361,2.491896,373,2.931717,-1.625444e-01
5PR25/2,389,2.364384,383,2.924670,-2.126641e-01
5PR13,404,2.490536,401,2.925989,-1.611346e-01
5PR27/2,419,2.617346,409,2.926526,-1.116552e-01
7PR2,433,2.371783,421,2.927277,-2.104306e-01
5PR29/2,439,2.172389,439,2.921500,-2.962697e-01
5PR15,451,2.484088,461,2.922771,-1.626265e-01
5PR31/2,466,2.603518,467,2.923088,-1.157770e-01
5PR16,491,2.170204,491,2.924248,-2.982162e-01
5PR33/2,496,2.158537,503,2.918777,-3.017340e-01
5PR17,514,2.425229,512,2.912920,-1.832301e-01
7PR5/2,526,2.224923,526,2.924867,-2.735267e-01
5PR18,548,2.471090,541,2.920429,-1.670712e-01
5PR37/2,556,2.138928,569,2.916107,-3.099447e-01
5PR19,571,2.250802,571,2.916184,-2.589893e-01
5PR39/2,593,2.479793,587,2.916771,-1.623021e-01
5PR20,601,2.459414,601,2.917245,-1.707166e-01
5PR41/2,619,2.264139,619,2.917806,-2.536374e-01
7PR3,631,2.515024,631,2.913339,-1.470175e-01
5PR43/2,653,2.451200,647,2.913836,-1.728927e-01
5PR22,661,2.293985,661,2.914241,-2.393189e-01
5PR45/2,677,2.655002,677,2.914671,-9.331154e-02
5PR23,694,2.475723,701,2.915257,-1.634255e-01
5PR47/2,706,1.932420,709,2.911114,-4.097627e-01
5PR24,724,2.401837,733,2.911697,-1.925022e-01
7PR7/2,736,2.497206,739,2.911834,-1.536106e-01
5PR25,757,2.448382,751,2.912095,-1.734454e-01
5PR51/2,772,2.412496,769,2.912461,-1.883365e-01
5PR26,787,2.261955,787,2.908880,-2.515386e-01
5PR53/2,802,2.347371,797,2.909084,-2.145423e-01
5PR27,811,2.444106,811,2.909356,-1.742523e-01
5PR55/2,829,2.750946,829,2.909683,-5.609929e-02
7PR4,841,2.494510,853,2.910080,-1.540883e-01
5PR57/2,859,2.120215,863,2.906651,-3.154841e-01
5PR29,877,2.529782,881,2.906954,-1.389727e-01
5PR59/2,892,2.389002,887,2.907051,-1.962635e-01
5PR30,907,2.469201,911,2.907414,-1.633694e-01
5PR61/2,916,2.557395,919,2.907527,-1.283137e-01
5PR31,944,2.604008,941,2.907819,-1.103515e-01
7PR9/2,958,2.578016,953,2.904699,-1.193097e-01
5PR32,971,2.653928,971,2.904945,-9.037365e-02
5PR65/2,982,2.428988,977,2.905023,-1.789666e-01
5PR33,997,2.403811,991,2.905198,-1.894462e-01
5PR67/2,1009,2.382122,1009,2.905410,-1.985828e-01
5PR34,1024,2.159339,1024,2.902467,-2.957589e-01
5PR69/2,1039,2.526535,1039,2.902721,-1.387998e-01
7PR5,1063,2.578666,1051,2.902859,-1.184239e-01
5PR71/2,1069,2.567684,1069,2.903056,-1.227596e-01
5PR36,1087,2.443828,1091,2.903278,-1.722748e-01
5PR73/2,1109,2.406940,1097,2.903335,-1.875038e-01
5PR37,1114,2.490995,1123,2.903569,-1.532584e-01
5PR75/2,1126,2.196286,1129,2.900841,-2.782329e-01
5PR38,1142,2.537361,1151,2.901050,-1.339482e-01
11PR/2,1213,2.425805,1249,2.899254,-1.782900e-01
7PR6,1336,2.178634,1361,2.897594,-2.851827e-01
7PR13/2,1468,2.256079,1451,2.895851,-2.496507e-01
7PR7,1546,2.243897,1559,2.894260,-2.545154e-01
7PR15/2,1609,2.388505,1663,2.892702,-1.915234e-01
7PR8,1753,2.371121,1783,2.891247,-1.983251e-01
7PR17/2,1816,2.501503,1801,2.891298,-1.448138e-01
7PR9,1951,2.491569,1931,2.889892,-1.483065e-01
7PR19/2,2029,2.361029,2048,2.886964,-2.011079e-01
7PR10,2147,2.432338,2179,2.887173,-1.714249e-01
7PR21/2,2287,2.426640,2293,2.885866,-1.733174e-01
11PR,2344,2.486771,2311,2.885885,-1.488465e-01
7PR23/2,2446,2.459575,2437,2.884631,-1.594084e-01
7PR12,2539,2.390593,2609,2.883442,-1.874433e-01
7PR25/2,2719,2.364339,2711,2.882254,-1.980741e-01
7PR13,2734,2.260108,2731,2.882261,-2.431625e-01
7PR27/2,2866,2.498550,2857,2.881122,-1.424692e-01
7PR14,2974,2.384523,3037,2.880022,-1.887988e-01
7PR29/2,3076,2.409724,3109,2.880013,-1.782826e-01
7PR15,3169,2.398188,3253,2.878936,-1.827073e-01
7PR31/2,3316,2.559556,3359,2.877904,-1.172284e-01
7PR16,3463,2.515341,3463,2.877865,-1.346403e-01
11PR3/2,3559,2.463021,3529,2.876886,-1.553198e-01
7PR17,3646,2.455534,3673,2.875906,-1.580235e-01
7PR35/2,3754,2.438505,3739,2.875875,-1.649718e-01
7PR18,3856,2.461009,3881,2.874925,-1.554552e-01
7PR37/2,3931,2.460542,3947,2.874887,-1.556317e-01
7PR19,4021,2.312876,4093,2.873962,-2.171998e-01
7PR39/2,4162,2.490765,4096,2.873200,-1.428365e-01
7PR20,4276,2.439237,4297,2.873027,-1.636809e-01
7PR41/2,4376,2.593592,4409,2.872179,-1.020272e-01
7PR21,4423,2.571975,4513,2.872106,-1.103715e-01
7PR43/2,4612,2.584675,4583,2.871316,-1.051707e-01
11PR2,4702,2.515295,4723,2.871212,-1.323441e-01
7PR45/2,4801,2.322255,4789,2.870452,-2.119308e-01
7PR23,4933,2.423397,4933,2.870341,-1.692606e-01
7PR47/2,4987,2.610945,4999,2.869608,-9.446321e-02
7PR24,5081,2.631925,5119,2.869513,-8.642681e-02
7PR49/2,5242,2.568675,5209,2.868784,-1.104980e-01
7PR25,5272,2.500832,5351,2.868669,-1.372247e-01
7PR51/2,5416,2.532320,5419,2.867982,-1.244728e-01
7PR26,5557,2.563894,5563,2.867863,-1.120400e-01
7PR53/2,5578,2.556758,5669,2.867167,-1.145844e-01
7PR27,5728,2.557604,5749,2.867100,-1.142302e-01
11PR5/2,5836,2.546932,5839,2.866437,-1.181803e-01
7PR28,5923,2.517829,5981,2.866318,-1.296313e-01
7PR57/2,6046,2.528853,6047,2.865695,-1.250451e-01
7PR29,6184,2.559927,6173,2.865590,-1.127955e-01
7PR59/2,6211,2.576152,6257,2.864970,-1.062611e-01
7PR30,6361,2.479787,6397,2.864854,-1.443447e-01
7PR61/2,6406,2.490436,6469,2.864262,-1.398529e-01
7PR31,6607,2.597988,6607,2.864148,-9.753362e-02
7PR63/2,6616,2.523767,6719,2.863540,-1.263060e-01
7PR32,6781,2.522179,6823,2.863454,-1.269054e-01
7PR65/2,6826,2.462926,6917,2.862878,-1.504773e-01
11PR3,6967,2.538098,7027,2.862788,-1.203810e-01
7PR67/2,7069,2.554651,7103,2.862724,-1.138580e-01
7PR34,7219,2.490658,7243,2.862128,-1.390185e-01
7PR69/2,7312,2.509917,7349,2.862040,-1.312850e-01
7PR35,7411,2.570808,7451,2.861490,-1.071222e-01
7PR71/2,7516,2.585750,7559,2.861401,-1.012958e-01
7PR36,7591,2.565480,7649,2.860875,-1.089819e-01
7PR73/2,7666,2.609550,7727,2.860812,-9.192771e-02
7PR37,7804,2.656910,7873,2.860693,-7.390011e-02
7PR75/2,7894,2.550259,7937,2.860203,-1.146977e-01
7PR38,7993,2.607285,8081,2.860087,-9.254259e-02
11PR7/2,8111,2.618053,8179,2.859583,-8.824490e-02
7PR39,8221,2.570447,8192,2.859197,-1.064610e-01
7PR79/2,8311,2.528721,8389,2.859002,-1.227590e-01
7PR40,8431,2.539771,8501,2.858914,-1.183679e-01
7PR81/2,8506,2.561064,8609,2.858828,-1.099890e-01
7PR41,8707,2.572145,8713,2.858346,-1.055030e-01
7PR83/2,8746,2.601277,8819,2.858263,-9.421162e-02
7PR42,8887,2.606480,8923,2.857792,-9.204865e-02
7PR85/2,9011,2.596887,9029,2.857710,-9.570718e-02
7PR43,9109,2.556399,9133,2.857630,-1.113930e-01
7PR87/2,9157,2.582625,9239,2.857170,-1.010253e-01
11PR4,9283,2.627969,9343,2.857090,-8.359232e-02
7PR89/2,9431,2.595367,9439,2.857016,-9.604979e-02
7PR45,9511,2.614054,9551,2.856564,-8.871723e-02
7PR91/2,9623,2.590067,9649,2.856490,-9.790985e-02
7PR46,9689,2.628934,9749,2.856056,-8.286321e-02
7PR93/2,9829,2.669105,9859,2.855975,-6.767008e-02
7PR47,9904,2.601232,9973,2.855889,-9.339800e-02
7PR95/2,10058,2.672481,10079,2.855463,-6.622675e-02
7PR48,10084,2.530217,10181,2.855388,-1.209027e-01
7PR97/2,10196,2.660810,10289,2.855308,-7.054913e-02
7PR49,10321,2.534621,10391,2.854895,-1.189909e-01
11PR9/2,10427,2.613939,10499,2.854816,-8.814911e-02
7PR50,10594,2.630831,10601,2.854412,-8.156610e-02
7PR101/2,10639,2.540009,10709,2.854335,-1.166713e-01
7PR51,10768,2.678243,10799,2.854270,-6.365514e-02
7PR103/2,10909,2.618682,10909,2.853870,-8.600483e-02
7PR52,10936,2.693686,11003,2.853804,-5.774233e-02
7PR105/2,11041,2.593885,11119,2.853721,-9.546700e-02
7PR53,11212,2.672506,11213,2.853342,-6.547433e-02
7PR107/2,11311,2.653797,11329,2.853261,-7.247111e-02
7PR54,11423,2.679684,11443,2.853182,-6.273599e-02
7PR109/2,11497,2.681534,11549,2.852803,-6.191300e-02
11PR5,11602,2.585615,11633,2.852745,-9.831830e-02
7PR111/2,11749,2.605377,11719,2.852686,-9.068362e-02
7PR56,11839,2.484349,11863,2.852290,-1.381115e-01
7PR113/2,11962,2.658242,11969,2.852218,-7.043194e-02
7PR57,12004,2.516768,12073,2.852148,-1.250969e-01
7PR115/2,12079,2.696891,12143,2.851810,-5.585425e-02
7PR58,12266,2.576540,12281,2.851718,-1.014742e-01
7PR117/2,12379,2.630355,12379,2.851653,-8.078001e-02
7PR59,12442,2.547527,12491,2.851296,-1.126505e-01
7PR119/2,12589,2.609922,12589,2.851231,-8.843050e-02
7PR60,12619,2.647890,12703,2.851156,-7.396143e-02
11PR11/2,12739,2.628100,12809,2.850811,-8.134236e-02
7PR61,12823,2.628430,12911,2.850745,-8.119365e-02
7PR123/2,13003,2.725217,13009,2.850681,-4.500986e-02
7PR62,13049,2.634104,13121,2.850339,-7.889485e-02
7PR125/2,13204,2.664716,13229,2.850270,-6.731624e-02
7PR63,13291,2.609520,13331,2.850205,-8.822463e-02
7PR127/2,13438,2.668489,13399,2.849898,-6.577081e-02
7PR64,13522,2.655186,13537,2.849811,-7.073797e-02
7PR129/2,13597,2.589678,13649,2.849741,-9.569457e-02
